               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071432,            0.039398,             0.05737,             0.42609,             0.48341,             0.40463,             0.19982,            0.046525,            0.018767,            0.027488,            0.070037,           0.0033292,           0.0033292
                   1,            0.052144,            0.034654,             0.02867,              0.5098,             0.56046,             0.49414,             0.26459,            0.042457,            0.018786,            0.016735,            0.039773,           0.0063987,           0.0063987
                   2,            0.050613,            0.035658,            0.023866,             0.47551,             0.48701,             0.43564,             0.23535,            0.043388,            0.020317,            0.019708,           0.0092455,           0.0092042,           0.0092042
                   3,            0.048781,            0.037696,            0.025952,             0.48634,             0.46701,             0.43153,              0.2349,            0.042208,            0.021957,            0.019318,            0.008812,            0.008812,            0.008812
                   4,            0.047517,            0.037906,            0.025039,             0.52586,             0.45648,             0.44502,             0.23823,             0.04262,            0.021703,            0.019128,            0.008812,            0.008812,            0.008812
                   5,            0.046434,            0.038343,            0.023909,             0.52248,             0.47563,             0.45089,             0.23904,            0.041453,            0.022112,             0.01782,            0.008416,            0.008416,            0.008416
                   6,            0.045559,            0.037648,            0.022621,             0.52105,             0.50306,             0.47237,             0.26156,            0.040802,            0.021393,             0.01725,             0.00802,             0.00802,             0.00802
                   7,            0.044128,            0.037903,            0.020485,             0.49625,             0.52585,             0.46688,             0.26248,             0.04058,            0.022152,            0.016384,            0.007624,            0.007624,            0.007624
                   8,            0.043702,             0.03673,            0.019738,             0.55035,             0.51461,             0.48792,             0.26695,            0.040155,            0.021541,            0.015869,            0.007228,            0.007228,            0.007228
                   9,            0.042332,            0.036049,            0.019302,             0.57643,             0.53822,             0.53387,             0.31601,            0.038666,            0.021392,            0.014729,            0.006832,            0.006832,            0.006832
                  10,            0.041539,            0.035816,            0.018044,             0.55335,             0.54497,             0.51352,             0.29819,            0.038299,            0.021254,            0.015432,            0.006436,            0.006436,            0.006436
                  11,            0.041155,            0.035837,            0.017235,             0.55229,             0.55983,             0.53735,             0.32068,            0.037818,            0.021448,            0.014152,             0.00604,             0.00604,             0.00604
                  12,            0.040172,             0.03487,            0.016116,             0.58111,              0.5581,             0.52782,             0.31696,            0.037591,            0.021665,            0.013819,            0.005644,            0.005644,            0.005644
                  13,            0.039385,            0.033906,            0.015582,              0.6082,             0.58311,             0.56509,             0.34494,            0.037274,            0.021202,            0.013245,            0.005248,            0.005248,            0.005248
                  14,            0.038591,            0.034667,            0.014621,              0.6093,             0.56744,             0.55162,             0.33796,            0.036758,            0.021425,            0.013347,            0.004852,            0.004852,            0.004852
                  15,            0.038007,            0.033765,            0.013474,             0.60608,             0.58529,             0.57026,             0.35784,            0.035793,            0.021185,            0.012307,            0.004456,            0.004456,            0.004456
                  16,            0.037582,            0.033685,            0.013205,             0.60158,             0.58579,              0.5677,              0.3551,            0.035709,            0.021275,             0.01214,             0.00406,             0.00406,             0.00406
                  17,            0.036467,            0.033103,            0.012666,             0.61782,             0.59194,             0.57602,              0.3613,            0.035353,            0.021008,            0.012363,            0.003664,            0.003664,            0.003664
                  18,            0.035782,            0.032353,            0.012539,              0.6206,             0.58834,             0.57676,              0.3653,            0.035339,             0.02127,            0.012163,            0.003268,            0.003268,            0.003268
                  19,            0.035281,            0.032209,            0.011678,             0.61315,             0.60157,             0.57893,             0.37477,            0.034792,            0.020992,            0.012082,            0.002872,            0.002872,            0.002872
                  20,            0.034924,            0.031807,            0.010837,             0.63714,               0.606,             0.59442,              0.3837,            0.034631,            0.021169,            0.011323,            0.002476,            0.002476,            0.002476
                  21,            0.034181,            0.031672,            0.010269,             0.63898,             0.60183,             0.59591,             0.38925,            0.034441,            0.021029,            0.011032,             0.00208,             0.00208,             0.00208
                  22,            0.033328,            0.030859,           0.0099108,             0.61698,             0.60459,             0.59358,             0.39062,            0.034247,             0.02109,            0.011462,            0.001684,            0.001684,            0.001684
                  23,            0.032736,            0.030221,           0.0098145,             0.64932,             0.61829,             0.61208,             0.40854,             0.03383,            0.020985,            0.011028,            0.001288,            0.001288,            0.001288
                  24,            0.032564,            0.030575,           0.0094211,             0.64248,             0.61712,             0.60677,              0.4019,            0.033631,            0.020994,             0.01089,            0.000892,            0.000892,            0.000892
